,class,data_class,large_class,long_method,feature_envy,refused_bequest
class,net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer$Line,0,0,0,0,0
class,net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl$ResourceAssignmentImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.resource.HumanResourceManager,0,0,0,1,0
class,net.sourceforge.ganttproject.io.GanttXMLSaver,1,1,1,1,0
class,net.sourceforge.ganttproject.GanttTree$GanttTransferableTreePath,0,0,0,0,0
class,net.sourceforge.ganttproject.time.TimeFrame,0,0,0,0,0
class,net.sourceforge.ganttproject.export.DeprecatedProjectExportData,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttMetalTheme,0,0,0,0,0
class,net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer$Rectangle,0,0,0,0,0
class,net.sourceforge.ganttproject.action.ResourceActionSet,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean,0,1,0,1,0
class,net.sourceforge.ganttproject.gui.server.ServerDialog,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttSplash,0,0,0,0,0
class,net.sourceforge.ganttproject.shape.PaintCellRenderer,0,0,0,0,0
class,net.sourceforge.ganttproject.shape.JPaintCombo,0,0,0,0,0
class,net.sourceforge.ganttproject.time.TimeUnitManager,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttTree$GanttAdjustmentListener,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.taskproperties.CommonPanel,1,0,0,1,0
class,net.sourceforge.ganttproject.GanttTaskRelationship,0,0,0,1,0
class,net.sourceforge.ganttproject.gui.options.ColorSettingsPanel$Anonymous1$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.ParametersSettingsPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.ColorSettingsPanel$Anonymous1$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencyConstraint,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttTree,0,1,0,1,0
class,net.sourceforge.ganttproject.GanttTree$GanttTreeModelListener,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.taskproperties.TaskAllocationsPanel$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionMutator,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.CSVSettingsPanel,0,1,1,1,0
class,net.sourceforge.ganttproject.roles.RolePersistentID,0,0,0,0,0
class,net.sourceforge.ganttproject.export.GanttChartExportProcessor,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttTree$GanttTreeCellEditor$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutAuthorPanel$AuthorsFieldTableModel,0,0,0,1,0
class,net.sourceforge.ganttproject.io.GanttXMLOpen,1,0,0,1,0
class,net.sourceforge.ganttproject.gui.taskproperties.TaskDependenciesPanel$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.parser.TagHandler,0,0,0,0,0
